feature,feature_group,target,baseline_mae,permuted_mae,delta_mae,relative_delta
cos_lat,location,pressure_pa,497.37060546875,847.9412231445312,350.57061767578125,0.7048478816824806
cos_lat,location,wind_u,1.8371793031692505,6.660150051116943,4.822970747947693,2.625204159238983
cos_lat,location,wind_v,1.7341810464859009,4.289560794830322,2.5553797483444214,1.4735368913889217
sin_lon,location,temperature_k,1.1241883039474487,1.4461784362792969,0.32199013233184814,0.28642010524501943
sin_lon,location,pressure_pa,497.37060546875,727.84619140625,230.4755859375,0.4633880317882615
sin_lon,location,wind_u,1.8371793031692505,2.6361827850341797,0.7990034818649292,0.4349077308276866
sin_lon,location,wind_v,1.7341810464859009,2.739802837371826,1.0056217908859253,0.5798828172662197
cos_lon,location,temperature_k,1.1241883039474487,1.4063369035720825,0.2821485996246338,0.2509798390838116
cos_lon,location,pressure_pa,497.37060546875,748.5938720703125,251.2232666015625,0.5051027620838099
cos_lon,location,wind_u,1.8371793031692505,2.502594232559204,0.6654149293899536,0.3621937870963769
cos_lon,location,wind_v,1.7341810464859009,2.5404536724090576,0.8062726259231567,0.464929903113038
sphere_x,location,temperature_k,1.1241883039474487,1.5007737874984741,0.3765854835510254,0.3349843457974895
sphere_x,location,pressure_pa,497.37060546875,927.3997802734375,430.0291748046875,0.8646051255871944
sphere_x,location,wind_u,1.8371793031692505,2.6009604930877686,0.7637811899185181,0.41573579051372245
sphere_x,location,wind_v,1.7341810464859009,2.518913984298706,0.7847329378128052,0.45250923449023245
sphere_y,location,temperature_k,1.1241883039474487,1.516218900680542,0.39203059673309326,0.3487232480150577
sphere_y,location,pressure_pa,497.37060546875,851.63232421875,354.26171875,0.7122691105078955
sphere_y,location,wind_u,1.8371793031692505,2.795018434524536,0.9578391313552856,0.5213639897330394
sphere_y,location,wind_v,1.7341810464859009,2.745175361633301,1.0109943151474,0.5829808353609056
sphere_z,location,temperature_k,1.1241883039474487,1.3531080484390259,0.22891974449157715,0.2036311387405061
