target,feature_group,sum_delta_mae,mean_delta_mae
temperature_k,altitude,41.55490601062775,4.617211778958638
temperature_k,day_of_year,1.5419477224349976,1.5419477224349976
temperature_k,location,14.441145420074463,0.8022858566708035
temperature_k,time_of_day,0.26871609687805176,0.026871609687805175
pressure_pa,altitude,41648.90008544922,4627.655565049913
pressure_pa,day_of_year,89.23297119140625,89.23297119140625
pressure_pa,location,6386.108337402344,354.7837965223524
pressure_pa,time_of_day,100.20816040039062,10.020816040039062
wind_u,altitude,20.981021523475647,2.3312246137195163
wind_u,day_of_year,5.4080809354782104,5.4080809354782104
wind_u,location,34.75710654258728,1.930950363477071
wind_u,time_of_day,1.0840085744857788,0.10840085744857789
wind_v,altitude,11.020710349082947,1.2245233721203275
wind_v,day_of_year,5.0426143407821655,5.0426143407821655
wind_v,location,27.151132106781006,1.5083962281545003
wind_v,time_of_day,1.5315053462982178,0.15315053462982178
