epoch,loss,pressure_pa_loss,pressure_pa_mae,pressure_pa_rmse,temperature_k_loss,temperature_k_mae,temperature_k_rmse,val_loss,val_pressure_pa_loss,val_pressure_pa_mae,val_pressure_pa_rmse,val_temperature_k_loss,val_temperature_k_mae,val_temperature_k_rmse,val_wind_u_loss,val_wind_u_mae,val_wind_u_rmse,val_wind_v_loss,val_wind_v_mae,val_wind_v_rmse,wind_u_loss,wind_u_mae,wind_u_rmse,wind_v_loss,wind_v_mae,wind_v_rmse
15,0.1482408046722412,0.0006933803088031709,0.028872491791844368,0.03724374622106552,0.0025622949469834566,0.054333996027708054,0.07159082591533661,0.17266902327537537,0.00043835421092808247,0.02253316529095173,0.029549581930041313,0.0023353490978479385,0.05060174688696861,0.0682908296585083,0.028017235919833183,0.1754569411277771,0.24692751467227936,0.08624804019927979,0.3354058265686035,0.4940088987350464,0.024312583729624748,0.16349190473556519,0.2278066724538803,0.07345220446586609,0.30479249358177185,0.44213399291038513
16,0.14530208706855774,0.0006756638176739216,0.028479598462581635,0.03676171228289604,0.0025025061331689358,0.05369763448834419,0.07074931263923645,0.16613131761550903,0.0004941350780427456,0.02429851144552231,0.03137322515249252,0.0022665204014629126,0.04997880756855011,0.06727255135774612,0.027047336101531982,0.17241524159908295,0.24183182418346405,0.08286421746015549,0.3275725841522217,0.4790591895580292,0.0238046757876873,0.16171565651893616,0.2251971811056137,0.0720282644033432,0.3012106120586395,0.43664875626564026
17,0.1426549255847931,0.0006625727983191609,0.02819770574569702,0.036402828991413116,0.0024552124086767435,0.05320349335670471,0.07007799297571182,0.16105374693870544,0.000452846143161878,0.02353530377149582,0.030048931017518044,0.002204596297815442,0.04937092214822769,0.06635496765375137,0.026336893439292908,0.17007823288440704,0.23830768465995789,0.08021793514490128,0.3210446536540985,0.46932774782180786,0.02331300638616085,0.1599537432193756,0.22265148162841797,0.07077551633119583,0.29803267121315,0.43191686272621155
18,0.14010965824127197,0.0006474452675320208,0.027864418923854828,0.03598370403051376,0.0024103859905153513,0.052724938839673996,0.06943471729755402,0.16220730543136597,0.00047841775813139975,0.02427602931857109,0.030888846144080162,0.002102672355249524,0.04806457832455635,0.06479726731777191,0.026505887508392334,0.17060348391532898,0.23919691145420074,0.08084017783403397,0.3223227858543396,0.47315219044685364,0.022901838645339012,0.1584930568933487,0.22051045298576355,0.06950994580984116,0.2948199212551117,0.4270957112312317
19,0.1377497911453247,0.0006303086411207914,0.027499603107571602,0.03550369292497635,0.0023679654113948345,0.052241504192352295,0.06881994754076004,0.16102159023284912,0.0004930775030516088,0.024789001792669296,0.03137955814599991,0.002093152841553092,0.0480073019862175,0.06464572250843048,0.025926601141691208,0.16836866736412048,0.23655664920806885,0.08061209321022034,0.3215314745903015,0.47381889820098877,0.02247743122279644,0.15696340799331665,0.21830309927463531,0.068379707634449,0.2918994426727295,0.4228634238243103
20,0.13562019169330597,0.0006172922439873219,0.027210548520088196,0.03513484448194504,0.0023415880277752876,0.05196032300591469,0.0684366375207901,0.15834476053714752,0.00046168125118128955,0.023708894848823547,0.030364472419023514,0.0020825678948312998,0.047995712608098984,0.0644703134894371,0.025520801544189453,0.16685502231121063,0.23458914458751678,0.07925000041723251,0.3183261454105377,0.4680493175983429,0.022129898890852928,0.15573665499687195,0.21646933257579803,0.06731679290533066,0.2891637086868286,0.41874438524246216
21,0.13340426981449127,0.0006000975263305008,0.02682076394557953,0.0346396267414093,0.002311171032488346,0.05163486674427986,0.06799031794071198,0.15444040298461914,0.00044221701682545245,0.0228972677141428,0.029698511585593224,0.0020477836951613426,0.047737911343574524,0.06392873823642731,0.024855470284819603,0.16468824446201324,0.23096968233585358,0.077324278652668,0.3140566647052765,0.4591308534145355,0.021733250468969345,0.15430393815040588,0.21437162160873413,0.0662507489323616,0.28643321990966797,0.41463106870651245
22,0.1312675029039383,0.0005867757718078792,0.02652033045887947,0.03425239399075508,0.002291204873472452,0.051430076360702515,0.06769642978906631,0.1505403071641922,0.00045432266779243946,0.022924361750483513,0.030091965571045876,0.002026420785114169,0.04757842421531677,0.06357245147228241,0.024036288261413574,0.16178444027900696,0.22663721442222595,0.07555554062128067,0.309836745262146,0.4513584077358246,0.02138824760913849,0.15304547548294067,0.212518572807312,0.0651780515909195,0.28367432951927185,0.4104330241680145
23,0.1294248402118683,0.0005779838538728654,0.026312876492738724,0.03399600833654404,0.0022705260198563337,0.05120961368083954,0.06739091128110886,0.14553305506706238,0.00043756485683843493,0.02266034297645092,0.02953079342842102,0.001975791761651635,0.04697901010513306,0.0627812072634697,0.023400602862238884,0.15968716144561768,0.22325588762760162,0.07287885993719101,0.3033243417739868,0.4400957524776459,0.021088358014822006,0.15195778012275696,0.2109294980764389,0.06425528973340988,0.28129538893699646,0.4068380296230316
24,0.12767992913722992,0.000568702700547874,0.026072710752487183,0.03371977433562279,0.002239748602733016,0.05086439847946167,0.06693200021982193,0.1424919217824936,0.0004565640410874039,0.02296212688088417,0.03016061708331108,0.001987666357308626,0.04767071083188057,0.06297323107719421,0.022876445204019547,0.1579698920249939,0.22029227018356323,0.07137274742126465,0.29983603954315186,0.4332279860973358,0.020811719819903374,0.1509433537721634,0.20943287014961243,0.06337962299585342,0.27899637818336487,0.40356406569480896
