fpr,tpr,threshold
0.0,0.0,inf
0.0,4.16181122024305e-05,92.6510238647461
0.0,8.3236224404861e-05,92.17659759521484
0.0,0.0001248543366072915,91.93912506103516
0.0,0.000166472448809722,91.45296478271484
0.0,0.0002080905610121525,90.9117202758789
0.0,0.000249708673214583,88.42076110839844
0.0,0.0002913267854170135,87.04727172851562
0.0,0.000332944897619444,84.2813720703125
0.0,0.0003745630098218745,83.91292572021484
0.0,0.000416181122024305,83.41829681396484
0.0,0.0004577992342267355,82.30432891845703
0.0,0.000499417346429166,81.84196472167969
0.0,0.0005410354586315965,79.90523529052734
0.0,0.000582653570834027,79.00994110107422
0.0,0.0006242716830364575,78.7530746459961
0.0,0.000665889795238888,78.73413848876953
0.0,0.0007075079074413185,78.56710815429688
0.0,0.000749126019643749,78.33214569091797
0.0,0.0007907441318461795,77.48120880126953
0.0,0.00083236224404861,77.3775863647461
0.0,0.0008739803562510405,76.95513916015625
0.0,0.000915598468453471,76.69935607910156
0.0,0.0009572165806559015,76.52174377441406
0.0,0.000998834692858332,76.41139221191406
0.0,0.0010404528050607625,75.97846984863281
0.0,0.001082070917263193,75.75386810302734
0.0,0.0011236890294656235,75.38996887207031
0.0,0.001165307141668054,75.23126983642578
0.0,0.0012069252538704845,74.91060638427734
0.0,0.001248543366072915,74.5116958618164
0.0,0.0012901614782753455,74.20630645751953
0.0,0.001331779590477776,74.02079010009766
0.0,0.0013733977026802065,73.91277313232422
0.0,0.001415015814882637,73.72450256347656
0.0,0.0014566339270850675,73.5496826171875
0.0,0.001498252039287498,73.46604919433594
0.0,0.0015398701514899285,73.2472152709961
0.0,0.001581488263692359,73.09046173095703
0.0,0.0016231063758947895,72.96158599853516
0.0,0.00166472448809722,72.89641571044922
0.0,0.0017063426002996505,72.79022216796875
0.0,0.001747960712502081,72.74185180664062
0.0,0.0017895788247045115,72.68694305419922
0.0,0.001831196936906942,72.63435363769531
0.0,0.0018728150491093725,72.41169738769531
0.0,0.001914433161311803,72.36359405517578
0.0,0.0019560512735142333,72.34918975830078
0.0,0.001997669385716664,72.34205627441406
0.0,0.0020392874979190943,71.68415069580078
0.0,0.002080905610121525,71.41558837890625
0.0,0.0021225237223239553,71.3752670288086
0.0,0.002164141834526386,71.36217498779297
0.0,0.0022057599467288163,71.27168273925781
0.0,0.002247378058931247,71.2287826538086
0.0,0.0022889961711336773,71.08588409423828
0.0,0.002330614283336108,71.07400512695312
0.0,0.0023722323955385383,71.02542114257812
0.0,0.002413850507740969,70.79021453857422
0.0,0.0024554686199433993,70.58828735351562
0.0,0.00249708673214583,70.32743072509766
