recall,precision,threshold
0.0,1.0,inf
4.16181122024305e-05,1.0,92.6510238647461
8.3236224404861e-05,1.0,92.17659759521484
0.0001248543366072915,1.0,91.93912506103516
0.000166472448809722,1.0,91.45296478271484
0.0002080905610121525,1.0,90.9117202758789
0.000249708673214583,1.0,88.42076110839844
0.0002913267854170135,1.0,87.04727172851562
0.000332944897619444,1.0,84.2813720703125
0.0003745630098218745,1.0,83.91292572021484
0.000416181122024305,1.0,83.41829681396484
0.0004577992342267355,1.0,82.30432891845703
0.000499417346429166,1.0,81.84196472167969
0.0005410354586315965,1.0,79.90523529052734
0.000582653570834027,1.0,79.00994110107422
0.0006242716830364575,1.0,78.7530746459961
0.000665889795238888,1.0,78.73413848876953
0.0007075079074413185,1.0,78.56710815429688
0.000749126019643749,1.0,78.33214569091797
0.0007907441318461795,1.0,77.48120880126953
0.00083236224404861,1.0,77.3775863647461
0.0008739803562510405,1.0,76.95513916015625
0.000915598468453471,1.0,76.69935607910156
0.0009572165806559015,1.0,76.52174377441406
0.000998834692858332,1.0,76.41139221191406
0.0010404528050607625,1.0,75.97846984863281
0.001082070917263193,1.0,75.75386810302734
0.0011236890294656235,1.0,75.38996887207031
0.001165307141668054,1.0,75.23126983642578
0.0012069252538704845,1.0,74.91060638427734
0.001248543366072915,1.0,74.5116958618164
0.0012901614782753455,1.0,74.20630645751953
0.001331779590477776,1.0,74.02079010009766
0.0013733977026802065,1.0,73.91277313232422
0.001415015814882637,1.0,73.72450256347656
0.0014566339270850675,1.0,73.5496826171875
0.001498252039287498,1.0,73.46604919433594
0.0015398701514899285,1.0,73.2472152709961
0.001581488263692359,1.0,73.09046173095703
0.0016231063758947895,1.0,72.96158599853516
0.00166472448809722,1.0,72.89641571044922
0.0017063426002996505,1.0,72.79022216796875
0.001747960712502081,1.0,72.74185180664062
0.0017895788247045115,1.0,72.68694305419922
0.001831196936906942,1.0,72.63435363769531
0.0018728150491093725,1.0,72.41169738769531
0.001914433161311803,1.0,72.36359405517578
0.0019560512735142333,1.0,72.34918975830078
0.001997669385716664,1.0,72.34205627441406
0.0020392874979190943,1.0,71.68415069580078
0.002080905610121525,1.0,71.41558837890625
0.0021225237223239553,1.0,71.3752670288086
0.002164141834526386,1.0,71.36217498779297
0.0022057599467288163,1.0,71.27168273925781
0.002247378058931247,1.0,71.2287826538086
0.0022889961711336773,1.0,71.08588409423828
0.002330614283336108,1.0,71.07400512695312
0.0023722323955385383,1.0,71.02542114257812
0.002413850507740969,1.0,70.79021453857422
0.0024554686199433993,1.0,70.58828735351562
0.00249708673214583,1.0,70.32743072509766
0.0025387048443482603,1.0,70.26893615722656
0.002580322956550691,1.0,70.2082290649414
0.0026219410687531213,1.0,70.02691650390625
0.002663559180955552,1.0,69.9757080078125
0.0027051772931579823,1.0,69.56926727294922
0.002746795405360413,1.0,69.52449035644531
0.0027884135175628433,1.0,69.42576599121094
0.002830031629765274,1.0,69.23757934570312
0.0028716497419677043,1.0,69.17201232910156
0.002913267854170135,1.0,69.10617065429688
0.0029548859663725653,1.0,68.93365478515625
0.002996504078574996,1.0,68.88468933105469
0.0030381221907774263,1.0,68.86082458496094
0.003079740302979857,1.0,68.7498550415039
0.0031213584151822873,1.0,68.72438049316406
0.003162976527384718,1.0,68.6125259399414
0.0032045946395871483,1.0,68.5846939086914
0.003246212751789579,1.0,68.31470489501953
0.0032878308639920093,1.0,68.12544250488281
0.00332944897619444,1.0,68.12529754638672
0.0033710670883968703,1.0,68.09607696533203
0.003412685200599301,1.0,68.03246307373047
0.0034543033128017313,1.0,67.7591323852539
0.003495921425004162,1.0,67.74352264404297
0.0035375395372065923,1.0,67.73755645751953
0.003579157649409023,1.0,67.66690063476562
0.0036207757616114533,1.0,67.62992095947266
0.003662393873813884,1.0,67.56025695800781
0.0037040119860163143,1.0,67.40108489990234
0.003745630098218745,1.0,67.2544174194336
0.0037872482104211753,1.0,67.2106704711914
0.003828866322623606,1.0,66.99176788330078
0.0038704844348260363,1.0,66.98670196533203
0.0039121025470284666,1.0,66.97498321533203
0.003953720659230897,1.0,66.81465148925781
0.003995338771433328,1.0,66.75423431396484
0.004036956883635759,1.0,66.73182678222656
0.0040785749958381886,1.0,66.58382415771484
